Day,Visitor type,Site member,Traffic category,Traffic source,Traffic source URL,UTM campaign source,UTM campaign medium,UTM campaign name,UTM campaign content,UTM campaign keywords,UTM Wix campaign,Page path,Page URL,Country,Region,City,Postal code,Device type,Browser,Browser version,Operating system,IP address,Is the first page viewed (Yes / No),Is the last page viewed (Yes / No),Next page viewed,Previous page viewed,Page views,Site sessions,Unique visitors,Bounce rate,Page exit rate,Avg. session duration,Avg. time on page,Avg. pages per session
2024-05-21,New,No,Referral,editor.wix.com,https://editor.wix.com/,_,_,_,_,_,_,/client,https://schaumburgmarketplace.net/client,India,GJ,Ahmedabad,382350,Desktop,Chrome,124.0.0.0,Windows,103.85.9.27,No,No,/,/business-directory,1,1,1,0.00%,0.00%,9m 04s,15s,1
2024-05-10,Returning,No,Referral,manage.wix.com,https://manage.wix.com/,_,_,_,_,_,_,/services,https://schaumburgmarketplace.net/services,India,GJ,Ahmedabad,380008,Desktop,Chrome,124.0.0.0,Windows,103.238.107.94,No,No,/,/events,1,1,1,0.00%,0.00%,30m 00s,16s,1
2024-05-09,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,No,No,/offers,/,1,1,1,0.00%,0.00%,19m 28s,15s,1
2024-05-10,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/about-us,https://schaumburgmarketplace.net/about-us,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,Yes,No,/services,,1,1,1,0.00%,0.00%,42m 39s,17m 26s,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/business-directory,https://schaumburgmarketplace.net/business-directory,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,Yes,,/,1,1,1,0.00%,100.00%,13m 29s,,1
2024-05-14,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/contact-us,https://schaumburgmarketplace.net/contact-us,United States,IL,Schaumburg,60194,Mobile,Safari,17.4.1,iOS,98.206.217.54,No,No,/events,/faq,1,1,1,0.00%,0.00%,4m 06s,11s,1
2024-05-08,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Chicago,60652,Desktop,Chrome,124.0.0.0,Mac OS,12.74.213.76,No,No,/offers,/events,1,1,1,0.00%,0.00%,9m 32s,7s,1
2024-05-15,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/services,/offers,1,1,1,0.00%,0.00%,1h 22m 14s,7s,1
2024-05-06,New,No,Direct,Direct,https://itexps.wixsite.com/smpweb,_,_,_,_,_,_,/services,https://itexps.wixsite.com/smpweb/services,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/jobs,/,1,1,1,0.00%,0.00%,2m 40s,16s,1
2024-05-14,New,No,Direct,Direct,https://schaumburgmarketplace.net/testimonials,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Mobile,Safari,16.6,iOS,98.206.217.54,No,No,/,/,1,1,1,0.00%,0.00%,14m 30s,,1
